Dist Name,Indicator 1 Definition,Indicator 2,Prov Name,Continuous 1,Geometry,Latitude (generated),Longitude (generated)
Zurmat,Number of persons excluding nomadic population (according to official estimates),,Paktya,"111,604.00",Polygon,33.42246695,69.0171918
Zindajan,Number of persons excluding nomadic population (according to official estimates),,Hirat,"59,278.00",Polygon,34.26493781,61.81724558
Zhiray,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"89,039.00",Polygon,31.65940036,65.38371034
Zerok,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"20,003.00",Polygon,33.15835931,69.30563762
Zebak,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"8,172.00",Polygon,36.36130307,71.27231157
Zari,Number of persons excluding nomadic population (according to official estimates),,Balkh,"45,496.00",Polygon,35.86043695,66.7145572
Zarghonshahr,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"30,980.00",Polygon,32.87495863,68.4423568
Zaranj,Number of persons excluding nomadic population (according to official estimates),,Nemroz,"59,308.00",Polygon,30.90481839,62.04547252
Zanakhan,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"13,051.00",Polygon,33.67899388,68.64864485
Zadran,Number of persons excluding nomadic population (according to official estimates),,Paktya,"36,836.00",Polygon,33.4162155,69.42452244
Yosufkhel,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"14,027.00",Polygon,33.03641335,68.65788908
Yawan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"33,664.00",Polygon,37.51460088,70.38824284
Yangiqala,Number of persons excluding nomadic population (according to official estimates),,Takhar,"46,384.00",Polygon,37.45557204,69.66075595
Yamgan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"26,712.00",Polygon,36.4320538,70.78459974
Yakawlang,Number of persons excluding nomadic population (according to official estimates),,Bamyan,"63,181.00",Polygon,35.03994765,66.99487095
Yahyakhel,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"18,052.00",Polygon,32.90598528,68.63903097
Yaftal-e-Sufla,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"54,765.00",Polygon,37.29250624,70.36164854
Wormamay,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"3,660.00",Polygon,31.96290387,68.80905903
Wazakhah,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"24,028.00",Polygon,32.22364951,68.27719974
Waygal,Number of persons excluding nomadic population (according to official estimates),,Noristan,"20,369.00",Polygon,35.18141321,70.99713846
Watapor,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"28,419.00",Polygon,34.9720289,71.07946396
Washer,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"16,222.00",Polygon,32.0656609,63.93851055
Warsaj,Number of persons excluding nomadic population (according to official estimates),,Takhar,"39,397.00",Polygon,36.10468411,70.15858254
Warduj,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"22,686.00",Polygon,36.79087423,71.14293976
Waras,Number of persons excluding nomadic population (according to official estimates),,Bamyan,"113,190.00",Polygon,34.16320785,66.93011191
Wama,Number of persons excluding nomadic population (according to official estimates),,Noristan,"11,466.00",Polygon,35.10736777,70.71928794
Walemuhammad-e- Shahed,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"20,857.00",Polygon,33.56402821,68.30952888
Wakhan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"15,490.00",Polygon,37.03094777,73.22008463
Waghaz,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"40,006.00",Polygon,33.42053716,68.22615712
Urgun,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"57,326.00",Polygon,32.9633439,69.20672684
Turwo,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"2,196.00",Polygon,31.88646583,68.40539125
Tolak,Number of persons excluding nomadic population (according to official estimates),,Ghor,"53,424.00",Polygon,34.00332503,63.67579891
Tirezayi,Number of persons excluding nomadic population (according to official estimates),,Khost,"46,349.00",Polygon,33.38229172,70.12728485
Tirenkot,Number of persons excluding nomadic population (according to official estimates),,Uruzgan,"106,657.00",Polygon,32.65495969,65.84992426
Teshkan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"30,980.00",Polygon,36.80086216,70.36634833
Taywarah,Number of persons excluding nomadic population (according to official estimates),,Ghor,"94,893.00",Polygon,33.51412353,64.4010504
Tarnak Wa Jaldak,Number of persons excluding nomadic population (according to official estimates),,Zabul,"17,808.00",Polygon,31.90515103,66.51603033
Tani,Number of persons excluding nomadic population (according to official estimates),,Khost,"61,840.00",Polygon,33.20465186,69.7355462
Taluqan,Number of persons excluding nomadic population (according to official estimates),,Takhar,"235,726.00",Polygon,36.74272204,69.52311621
Tala Wa Barfak,Number of persons excluding nomadic population (according to official estimates),,Baghlan,"31,347.00",Polygon,35.23866084,68.3428492
Tagab,Number of persons excluding nomadic population (according to official estimates),,Kapisa,"83,916.00",Polygon,34.80365928,69.64952872
Tagab,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"29,152.00",Polygon,36.47976446,70.34194902
Surkhrod,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"125,021.00",Polygon,34.42067566,70.31761718
Surkh-e- Parsa,Number of persons excluding nomadic population (according to official estimates),,Parwan,"42,446.00",Polygon,34.7429862,68.64335482
Spera,Number of persons excluding nomadic population (according to official estimates),,Khost,"25,248.00",Polygon,33.16274972,69.46938186
Spenboldak,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"104,408.00",Polygon,30.95222169,66.13540663
Sozmaqala,Number of persons excluding nomadic population (according to official estimates),,Sar-e-Pul,"51,350.00",Polygon,36.04288065,66.20713049
Shutul,Number of persons excluding nomadic population (according to official estimates),,Panjsher,"11,344.00",Polygon,35.28916058,69.30046102
Shumulzay,Number of persons excluding nomadic population (according to official estimates),,Zabul,"26,834.00",Polygon,31.83488765,67.77662082
Shuhada,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"35,860.00",Polygon,37.06109143,71.18592784
Shortepa,Number of persons excluding nomadic population (according to official estimates),,Balkh,"41,104.00",Polygon,37.21347691,66.83258018
Shorabak,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"11,953.00",Polygon,30.19694233,66.03352619
Sholgareh,Number of persons excluding nomadic population (according to official estimates),,Balkh,"118,418.00",Polygon,36.29298552,66.86480486
Shirentagab,Number of persons excluding nomadic population (according to official estimates),,Faryab,"84,526.00",Polygon,36.2481598,64.84594566
Shindand,Number of persons excluding nomadic population (according to official estimates),,Hirat,"185,683.00",Polygon,33.2664018,61.77724228
Shighnan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"28,908.00",Polygon,37.60885008,71.36602301
Shiberghan,Number of persons excluding nomadic population (according to official estimates),,Jawzjan,"174,927.00",Polygon,36.62643637,65.77841044
Sherzad,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"68,792.00",Polygon,34.18106351,69.92843068
Shenwari,Number of persons excluding nomadic population (according to official estimates),,Parwan,"42,690.00",Polygon,35.13502833,68.9730976
Shenwar,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"62,206.00",Polygon,34.20590355,70.81690079
Shenkay,Number of persons excluding nomadic population (according to official estimates),,Zabul,"24,394.00",Polygon,31.93338336,67.18096378
Shekhali,Number of persons excluding nomadic population (according to official estimates),,Parwan,"25,614.00",Polygon,34.96107076,68.39319382
Shegal Wa Shiltan,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"30,371.00",Polygon,35.01994728,71.23375577
Shebkoh,Number of persons excluding nomadic population (according to official estimates),,Farah,"24,272.00",Polygon,32.13910939,61.35945678
Shebar,Number of persons excluding nomadic population (according to official estimates),,Bamyan,"30,615.00",Polygon,34.8913513,68.02767895
Shawak,Number of persons excluding nomadic population (according to official estimates),,Paktya,"5,732.00",Polygon,33.47648064,69.33166588
Sharan,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"52,062.00",Polygon,33.21275046,68.74729617
Sharak-e-Hayratan,Number of persons excluding nomadic population (according to official estimates),,Balkh,,Polygon,37.21158826,67.39209169
Shamal,Number of persons excluding nomadic population (according to official estimates),,Khost,"14,149.00",Polygon,33.32115268,69.53390314
Shaki,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"27,322.00",Polygon,38.2161574,70.69757585
Shakardara,Number of persons excluding nomadic population (according to official estimates),,Kabul,"85,380.00",Polygon,34.66827025,69.06244021
Shahwalekot,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"45,007.00",Polygon,32.1399363,66.03326221
Shahristan,Number of persons excluding nomadic population (according to official estimates),,Daykundi,,Polygon,33.69457525,66.48049357
Shahrak,Number of persons excluding nomadic population (according to official estimates),,Ghor,"62,083.00",Polygon,34.22539176,64.28928917
Shahr-e-Buzorg,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"54,278.00",Polygon,37.31595302,70.14474745
Shahjoy,Number of persons excluding nomadic population (according to official estimates),,Zabul,"60,620.00",Polygon,32.49416068,67.35065345
Shahed-e-Hassas,Number of persons excluding nomadic population (according to official estimates),,Uruzgan,"61,230.00",Polygon,32.93221248,65.5386656
Sayghan,Number of persons excluding nomadic population (according to official estimates),,Bamyan,"24,882.00",Polygon,35.12441566,67.62420742
Sayedkaram,Number of persons excluding nomadic population (according to official estimates),,Paktya,"57,814.00",Polygon,33.73133632,69.46989317
Saydkhel,Number of persons excluding nomadic population (according to official estimates),,Parwan,"47,325.00",Polygon,35.04724007,69.28220808
Saydabad,Number of persons excluding nomadic population (according to official estimates),,Maydanwardag,"120,508.00",Polygon,33.93472261,68.67636271
Sayad,Number of persons excluding nomadic population (according to official estimates),,Sar-e-Pul,"56,595.00",Polygon,36.07284177,65.64340935
Sarrawzah(Sarhawzah),Number of persons excluding nomadic population (according to official estimates),,Pakteka,"24,028.00",Polygon,33.06540237,69.04457309
Sarobi,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"12,929.00",Polygon,32.78507046,69.12428481
Sarobi,Number of persons excluding nomadic population (according to official estimates),,Kabul,"57,570.00",Polygon,34.51974198,69.71818124
Sarkani,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"28,298.00",Polygon,34.70540311,71.08641616
Sar-e-Pul,Number of persons excluding nomadic population (according to official estimates),,Sar-e-Pul,"161,735.00",Polygon,36.29056355,66.01418963
Sangen,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"62,084.00",Polygon,32.03016381,64.98924442
Sang-e-Takht,Number of persons excluding nomadic population (according to official estimates),,Daykundi,"52,569.00",Polygon,34.1783062,65.86073965
Sancharak,Number of persons excluding nomadic population (according to official estimates),,Sar-e-Pul,"105,306.00",Polygon,35.96174886,66.36924353
Salang,Number of persons excluding nomadic population (according to official estimates),,Parwan,"26,955.00",Polygon,35.29399763,69.16320807
Saghar,Number of persons excluding nomadic population (according to official estimates),,Ghor,"35,982.00",Polygon,33.66389877,63.74368584
Sabari,Number of persons excluding nomadic population (according to official estimates),,Khost,"73,549.00",Polygon,33.49219927,69.95232947
Rustaq,Number of persons excluding nomadic population (according to official estimates),,Takhar,"170,572.00",Polygon,37.11042751,69.83684902
Rukha,Number of persons excluding nomadic population (according to official estimates),,Panjsher,"23,784.00",Polygon,35.24506223,69.48426609
Roy-e-Doab,Number of persons excluding nomadic population (according to official estimates),,Samangan,"47,325.00",Polygon,35.61112346,67.76800968
Rodat,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"71,719.00",Polygon,34.25666233,70.55078089
Reg(khannishen),Number of persons excluding nomadic population (according to official estimates),,Hilmand,"27,322.00",Polygon,30.82718507,63.46232387
Reg,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"9,270.00",Polygon,30.16208839,65.22106881
Rashedan,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"18,662.00",Polygon,33.7057394,68.19280462
Raghestan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"41,104.00",Polygon,37.67990812,70.64016506
Qurghan,Number of persons excluding nomadic population (according to official estimates),,Faryab,"48,911.00",Polygon,37.03048162,64.97990762
Qoshtepa,Number of persons excluding nomadic population (according to official estimates),,Jawzjan,"24,394.00",Polygon,36.25935229,65.38390941
Qaysar,Number of persons excluding nomadic population (according to official estimates),,Faryab,"147,829.00",Polygon,35.65988045,64.19961342
Qarqen,Number of persons excluding nomadic population (according to official estimates),,Jawzjan,"25,739.00",Polygon,37.29954834,66.03292711
Qarghayi,Number of persons excluding nomadic population (according to official estimates),,Laghman,"101,724.00",Polygon,34.54350364,70.21452292
Qaramqol,Number of persons excluding nomadic population (according to official estimates),,Faryab,"20,370.00",Polygon,36.77961061,64.97449495
Qarabagh,Number of persons excluding nomadic population (according to official estimates),,Kabul,"79,282.00",Polygon,34.83949573,69.16656904
Qarabagh,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"148,195.00",Polygon,33.22189217,67.99978428
Qalat,Number of persons excluding nomadic population (according to official estimates),,Zabul,"36,951.00",Polygon,32.18736556,66.95346501
Qalandar,Number of persons excluding nomadic population (according to official estimates),,Khost,"10,612.00",Polygon,33.48823112,69.63433608
Qala-ye-Kah,Number of persons excluding nomadic population (according to official estimates),,Farah,"31,956.00",Polygon,32.49744119,61.24960127
Qala-e-Zal,Number of persons excluding nomadic population (according to official estimates),,Kunduz,"72,621.00",Polygon,36.86939395,68.3469362
Qala-e-Naw,Number of persons excluding nomadic population (according to official estimates),,Badghes,"68,869.00",Polygon,34.86100315,63.13068073
Qades,Number of persons excluding nomadic population (according to official estimates),,Badghes,"94,406.00",Polygon,34.79805408,63.5780566
Pushtrod,Number of persons excluding nomadic population (according to official estimates),,Farah,"42,202.00",Polygon,32.51457331,62.12510707
Purchaman,Number of persons excluding nomadic population (according to official estimates),,Farah,"55,497.00",Polygon,33.18444456,63.72316691
Pul-e-Hisar,Number of persons excluding nomadic population (according to official estimates),,Baghlan,"28,663.00",Polygon,35.58662029,69.53573712
Pul-e- khumri,Number of persons excluding nomadic population (according to official estimates),,Baghlan,"220,311.00",Polygon,36.01194573,68.63629334
Pul-e- Alam,Number of persons excluding nomadic population (according to official estimates),,Logar,"109,848.00",Polygon,33.9915662,69.04696909
Patoo,Number of persons excluding nomadic population (according to official estimates),,Daykundi,"69,036.00",Polygon,33.38103566,66.02242763
Pashtonzarghon,Number of persons excluding nomadic population (according to official estimates),,Hirat,"104,042.00",Polygon,34.13201951,62.72880616
Pashtonkot,Number of persons excluding nomadic population (according to official estimates),,Faryab,"195,886.00",Polygon,35.8389385,64.78267173
Pasaband,Number of persons excluding nomadic population (according to official estimates),,Ghor,"98,431.00",Polygon,33.68713674,65.13279508
Paryan,Number of persons excluding nomadic population (according to official estimates),,Panjsher,"15,368.00",Polygon,35.67860508,70.06376425
Paron,Number of persons excluding nomadic population (according to official estimates),,Noristan,"14,027.00",Polygon,35.42126422,70.78777883
Panjwayi,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"90,381.00",Polygon,31.11127717,65.19861929
Panjab,Number of persons excluding nomadic population (according to official estimates),,Bamyan,"70,744.00",Polygon,34.38688963,66.93067289
Paghman,Number of persons excluding nomadic population (according to official estimates),,Kabul,"126,625.00",Polygon,34.54102809,68.946488
Pacheragam,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"44,154.00",Polygon,34.07716093,70.30223475
Onaba(Anawa),Number of persons excluding nomadic population (according to official estimates),,Panjsher,"18,662.00",Polygon,35.21177264,69.40165955
Omna,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"12,563.00",Polygon,32.9173586,68.81071285
Obi,Number of persons excluding nomadic population (according to official estimates),,Hirat,"78,714.00",Polygon,34.38097712,63.29202556
Norgiram,Number of persons excluding nomadic population (according to official estimates),,Noristan,"33,542.00",Polygon,35.07399491,70.46949605
Norgal,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"32,810.00",Polygon,34.70058446,70.72823893
Nirkh,Number of persons excluding nomadic population (according to official estimates),,Maydanwardag,"59,156.00",Polygon,34.32646071,68.77148502
Nijrab,Number of persons excluding nomadic population (according to official estimates),,Kapisa,"116,604.00",Polygon,35.04131817,69.63248454
Nesh,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"13,904.00",Polygon,32.37553197,65.70770694
Neli,Number of persons excluding nomadic population (according to official estimates),,Daykundi,"42,324.00",Polygon,33.74108466,66.07853848
Nekaâ€Œâ€Žâ€,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"12,929.00",Polygon,33.21778591,69.22775592
Nazyan,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"15,246.00",Polygon,34.05583905,70.79909072
Nawzad,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"52,814.00",Polygon,32.61593086,64.48615955
Nawur,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"98,187.00",Polygon,33.79936204,67.78735813
Nawbahar,Number of persons excluding nomadic population (according to official estimates),,Zabul,"19,516.00",Polygon,32.19990175,67.58513136
Nawa-e-Barakzaiy,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"96,479.00",Polygon,31.35597072,64.2177489
Nawa,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"30,859.00",Polygon,32.30633626,67.92673951
Nari,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"28,664.00",Polygon,35.17737326,71.50829848
Narang,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"31,346.00",Polygon,34.81781632,71.01906905
Namakab,Number of persons excluding nomadic population (according to official estimates),,Takhar,"12,685.00",Polygon,36.4318754,69.69492962
Nahren,Number of persons excluding nomadic population (according to official estimates),,Baghlan,"71,883.00",Polygon,36.00400243,69.02008119
Nahr-e-Saraj,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"122,067.00",Polygon,31.89454213,64.59621777
Nahr-e- Shahi,Number of persons excluding nomadic population (according to official estimates),,Balkh,"46,593.00",Polygon,36.82757245,67.23353009
Nadirshahkot,Number of persons excluding nomadic population (according to official estimates),,Khost,"33,054.00",Polygon,33.38682713,69.68716862
Nad-e-Ali,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"94,649.00",Polygon,31.59896108,63.83503388
Murghab,Number of persons excluding nomadic population (according to official estimates),,Badghes,"100,870.00",Polygon,35.49647314,63.48988088
Muqur,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"52,204.00",Polygon,32.92536005,67.79624897
Muqur,Number of persons excluding nomadic population (according to official estimates),,Badghes,"24,638.00",Polygon,35.10816591,63.26031505
Muhmanddara,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"46,593.00",Polygon,34.22508134,70.97115798
Muhammadagha,Number of persons excluding nomadic population (according to official estimates),,Logar,"78,306.00",Polygon,34.20121766,69.19412159
Mosaqala,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"61,352.00",Polygon,32.40142175,64.82371904
Mosakhel,Number of persons excluding nomadic population (according to official estimates),,Khost,"42,568.00",Polygon,33.53947829,69.68332018
Mosahi,Number of persons excluding nomadic population (according to official estimates),,Kabul,"24,272.00",Polygon,34.37420173,69.21746848
Miyanshen,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"15,612.00",Polygon,32.39828143,66.32431304
Mirbachakot,Number of persons excluding nomadic population (according to official estimates),,Kabul,"54,278.00",Polygon,34.7398215,69.10780424
Mingajek,Number of persons excluding nomadic population (according to official estimates),,Jawzjan,"44,520.00",Polygon,37.04816705,65.98883078
Mihtarlam,Number of persons excluding nomadic population (according to official estimates),,Laghman,"134,576.00",Polygon,34.66695409,70.07171768
Mezan,Number of persons excluding nomadic population (according to official estimates),,Zabul,"14,270.00",Polygon,32.18338053,66.5008892
Meramor,Number of persons excluding nomadic population (according to official estimates),,Daykundi,"65,011.00",Polygon,33.82651184,66.98777723
Mazar-e-Sharif,Number of persons excluding nomadic population (according to official estimates),,Balkh,"415,053.00",,,
Maywand,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"60,864.00",Polygon,31.5669699,64.93499047
Maymana,Number of persons excluding nomadic population (according to official estimates),,Faryab,"86,051.00",,,
Maydanshahr,Number of persons excluding nomadic population (according to official estimates),,Maydanwardag,"41,959.00",Polygon,34.4643092,68.84888241
Maton,Number of persons excluding nomadic population (according to official estimates),,Khost,"143,026.00",Polygon,33.32936392,69.99382007
Matakhan,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"25,858.00",Polygon,33.27923634,68.86340678
Marof,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"34,274.00",Polygon,31.48919481,67.27440229
Marmul,Number of persons excluding nomadic population (according to official estimates),,Balkh,"11,832.00",Polygon,36.54154049,67.38898032
Markaz-e-Bihsod,Number of persons excluding nomadic population (according to official estimates),,Maydanwardag,"123,801.00",Polygon,34.35949304,67.65412142
Mardyan,Number of persons excluding nomadic population (according to official estimates),,Jawzjan,"40,006.00",Polygon,37.04788814,66.32277429
Marawara,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"21,223.00",Polygon,34.85621145,71.21982779
Mandozayi,Number of persons excluding nomadic population (according to official estimates),,Khost,"58,546.00",Polygon,33.33652206,69.80356856
Mandol,Number of persons excluding nomadic population (according to official estimates),,Noristan,"20,491.00",Polygon,35.38532056,70.2081954
Malistan,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"85,136.00",Polygon,33.27936775,67.24079368
Mahmod-e- Raqi,Number of persons excluding nomadic population (according to official estimates),,Kapisa,"66,719.00",Polygon,35.01232951,69.38206608
Lijaahmadkhel,Number of persons excluding nomadic population (according to official estimates),,Paktya,"23,662.00",Polygon,33.79779221,69.60536193
Lashkargah,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"108,174.00",Polygon,31.45153559,64.52294377
Lash-e-Juwayn,Number of persons excluding nomadic population (according to official estimates),,Farah,"29,029.00",Polygon,31.75884664,61.32282852
Lalpor,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"21,223.00",Polygon,34.32206811,71.01777045
Lal Wa Sarjangal,Number of persons excluding nomadic population (according to official estimates),,Ghor,"116,238.00",Polygon,34.56717295,66.2087375
Kushk-e-Kuhna,Number of persons excluding nomadic population (according to official estimates),,Hirat,"47,447.00",Polygon,34.97756035,62.62921829
Kushk,Number of persons excluding nomadic population (according to official estimates),,Hirat,"129,560.00",Polygon,35.01372112,62.20142815
Kunduz,Number of persons excluding nomadic population (according to official estimates),,Kunduz,"323,956.00",Polygon,36.79226407,68.8604601
Kozkunar,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"57,082.00",Polygon,34.56464456,70.65457845
Kot,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"54,034.00",Polygon,34.17295631,70.62734594
Koran wa Monjan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"9,880.00",Polygon,35.90298144,70.69836857
Kohsan,Number of persons excluding nomadic population (according to official estimates),,Hirat,"56,472.00",Polygon,34.77174776,61.24909831
Kohistanat,Number of persons excluding nomadic population (according to official estimates),,Sar-e-Pul,"83,063.00",Polygon,35.40615893,65.96333754
Kohistan,Number of persons excluding nomadic population (according to official estimates),,Faryab,"56,594.00",Polygon,35.3494231,64.9565951
Kohistan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"17,198.00",Polygon,37.41068617,70.66214929
Kohband,Number of persons excluding nomadic population (according to official estimates),,Kapisa,"24,394.00",Polygon,35.11098722,69.4606537
Koh-e- Safi,Number of persons excluding nomadic population (according to official estimates),,Parwan,"32,200.00",Polygon,34.75457346,69.46807485
